"Common/ButtonExit","ZAVŘÍT"
"OW/BattleJoin/Error/CantJoinPVPOnBasic","Join failed: cannot join PvP battle on basic ship"
"OW/BattleJoin/Error/CantJoinOutlawOnBasic","Join failed: cannot join outlaw battle on basic ship"
"OW/BattleJoin/Error/TooFar","Attack failed: target is too far"
"OW/Battle/ZoneIsShrinking","Battle Zone is shrinking"
"OW/TeleportToOutpost/Title","Teleport to outpost?"
"OW/TeleportToOutpost/Message","Your long boat have brought you to {0}. Do you want to stay in this port or transport to your nearest outpost at {1}?"
"OW/TeleportToOutpost/NoButton","Stay in this port"
"OW/TeleportToOutpost/YesButton","Sail to outpost"
"OW/CombatChat/PlayerSankPlayer","{0} sank {1} ."
"OW/CombatChat/PlayerBoardedPlayer","{0} boarded {1} ."
"OW/CombatChat/PlayerSankPlayerNearPort","{0} sank {1} near {2}."
"OW/CombatChat/PlayerBoardedPlayerNearPort","{0} boarded {1} near {2}."
"ChatControl/Chat/InputPlaceholder","Enter text..."
"ChatControl/ContactContextMenu/Info","Info"
"ChatControl/ContactContextMenu/Reply","Reply"
"ChatControl/ContactContextMenu/Copy","Copy"
"ChatControl/ContactContextMenu/PrivateChat","Private Chat"
"ChatControl/ContactContextMenu/Trade","Trade"
"ChatControl/ContactContextMenu/Mail","Mail"
"ChatControl/ContactContextMenu/ClanInvite","Clan Invite"
"ChatControl/ContactContextMenu/GroupInvite","Group Invite"
"ChatControl/ContactContextMenu/AddFriend","Add Friend"
"ChatControl/ContactContextMenu/Ignore","Ignore"
"ChatControl/ContactContextMenu/Report","Report"
"ChatControl/ContactContextMenu/Ban1day","Ban 1 day"
"ChatControl/ContactContextMenu/Ban7days","Ban 7 days"
"ChatControl/ContactContextMenu/Warning","Warning"
"ChatControl/ContactContextMenu/BattleGroup","Battle Group"
"ChatControl/ContactContextMenu/Remove","Remove Friend"
"ChatControl/Settings/SmallText","Small"
"ChatControl/Settings/MediumText","Medium"
"ChatControl/Settings/LargeText","Large"
"ChatControl/GroupContextMenu/Leave","Leave group"
"ChatControl/GroupContextMenu/Kick","Kick member"
"ChatControl/GroupContextMenu/GiveLeader","Give Leader"
"ChatControl/ActiveText/BattleGroup","Battle Group"
"ChatControl/Group/Ready","Ready"
"ChatControl/LeaderContextMenu/Leave","Leave group"
"ChatControl/LeaderContextMenu/Kick","Kick member"
"ChatControl/LeaderContextMenu/Delete","Delete Group"
"ChatControl/MailBox/Title","MailBox"
"ChatControl/MailBox/Context/Unread","Mark as unread"
"ChatControl/MailBox/Context/Delete","Delete"
"ChatControl/MailBox/Context/Reply","Reply"
"ChatControl/Contacts/Title","Friend List"
"ChatControl/Contacts/Filter","Online"
"ChatControl/Contacts/IgnoreList","Ignore List"
"ChatControl/Contacts/FindPanel","Find"
"ChatControl/Contacts/FindPlaceholder","Enter text..."
"ChatControl/Contacts/FriendsTab","Friends"
"ChatControl/Contacts/IgnoreTab","Ignore"
"ChatControl/Contacts/FindTab","Find"
"ChatControl/PlayerInfo/Title","Player"
"ChatControl/PlayerInfo/Nation","Nation:"
"ChatControl/PlayerInfo/Rank","Rank:"
"ChatControl/PlayerInfo/Birthday","Birthday:"
"ChatControl/PlayerInfo/Clan","Clan:"
"ChatControl/SystemMessage/OkButton","OK"
"ChatControl/SystemMessage/YesButton","YES"
"ChatControl/SystemMessage/NoButton","NO"
"ChatControl/SystemMessage/BlockButton","Block"
"ChatControl/Compose/Title","Compose"
"ChatControl/Compose/To","To"
"ChatControl/Compose/Subject","Subject"
"ChatControl/Compose/Send","Send"
"ChatControl/Compose/MessagePlaceholder","Enter text..."
"ChatControl/Group/Title","Group message"
"ChatControl/Group/YouLeft","You have left group."
"ChatControl/Group/Invite","{0} is inviting you into his {1}.
Do you want to accept?"
"ChatControl/Group/Error/NotGroupLeader","Only group leader can invite other players to group"
"ChatControl/Group/Error/NotAllowedToInvite","You are not allowed to invite players to {0} because you are already part of {1}"
"ChatControl/Group/Error/InviteRejected","{0} rejected the invite."
"ChatControl/Group/Error/AlreadyInGroup","You are already in a group."
"ChatControl/Group/Cause/InAnotherGroup","He is in another group."
"ChatControl/Group/Type/Group","Group"
"ChatControl/Group/Type/BattleGroup","Battle Group"
"ChatControl/Group/Type/Division","Division"
"ChatControl/Group/Error/GroupCreationFailed","Group creation is failed"
"ChatControl/Group/Error/GroupCreationFailedReason","You are already in group.
Please leave your group and then repeat the operation"
"ChatControl/Group/YouKicked","You were kicked from group."
"ChatControl/History/Title","History"
"ChatControl/History/BattleResults","Captain <b><i>{0}</i></b>. You participated in battle and {1}"
"ChatControl/History/NoRewards","earned no rewards."
"ChatControl/History/Earned","earned"
"ChatControl/History/BattleDetails","Battle details:"
"ChatControl/History/BattleResult","Battle Result"
"ChatControl/History/PressButtonForDetails","Press button for details."
"ChatControl/History/BattleDetails/CausedDamage","caused {0} damage({1}%)"
"ChatControl/History/BattleDetails/AndKilled","and killed"
"ChatControl/History/BattleDetails/AndAssisted","and kill assisted"
"ChatControl/History/BattleDetails/NPC","NPC"
"ChatControl/History/BattleDetails/Player","player"
"ChatControl/History/BattleDetails/OnShip","on {0}"
"ChatControl/History/BattleDetails/TargetBR","(Target BR {0})"
"ChatControl/History/BattleDetails/Earned","Earned"
"ChatControl/History/BattleDetails/FriendlyDamage","{0} friendly damage <color=#ff0000>{1}</color> xp"
"ChatControl/History/BattleDetails/FriendlyCrewKilled","{0} friendly crew killed <color=#ff0000>{1}</color> xp"
"ChatControl/History/BattleDetails/FriendlyShipKilled","{0} friendly ship killed <color=#ff0000>{1}</color> xp"
"ChatControl/FriendInvite/Title","Friend Invite"
"ChatControl/FriendInvite/Message","You received invite from: {0} You can add the person into block list to avoid further invites from the person"
"ChatControl/BanHandler/Message","You were banned from {0} chat."
"ChatControl/BanHandler/Reason","Reason:"
"Nation/Name/0","Neutral"
"Nation/Description/0"," "
"Nation/Context/0",""
"Nation/Name/1","Pirates"
"Nation/Description/1","Difficulty level - Hard.

Pirate Republic starts in the center of action on an island of Inagua. Nearby free town of La Tortue (Tortuga) makes life a bit more dangerous as all nations can base their fleets in a free town."
"Nation/Context/1","Pirate player"
"Nation/Name/2","España"
"Nation/Description/2","Difficulty level - Easy.

Spain has access to uncapturable west Cuba and Vera Cruz areas. These bases are far from enemy activity but the presence of capturable island chains above Havana can cause some trouble for captains leaving the safety of home waters. "
"Nation/Context/2","Spanish player"
"Nation/Name/3","France"
"Nation/Description/3","Difficulty level - Medium.

France has significant uncapturable holdings in the Antilles and Louisiana. This nation is somewhat distant from enemies but eventually could clash with Sweden/Denmark and Dutch. Captains who wish to increase their PvP activity should relocate to the center of the map. "
"Nation/Context/3","French player"
"Nation/Name/4","Great Britain"
"Nation/Description/4","Difficulty level - Easy.

British have a nice central base on an island of Jamaica and have a secondary uncapturable base in Belize.  For fast PVP action. "
"Nation/Context/4","British player"
"Nation/Name/5","Verenigde Provinciën"
"Nation/Description/5","Difficulty level - Medium.

Your main base is distant from all enemies but the presence of the capturable coasts just below the national waters makes trading harder and experience a bit more dangerous. Captains willing to find PvP action should relocate to or conquer bases in the center of the map. "
"Nation/Context/5","Dutch player"
"Nation/Name/6","Danmark-Norge"
"Nation/Description/6","Difficulty level - Very hard.

Denmark controls one island in the Virgin Islands. Access to zdrojům is limited and Captains must engage in PvP hostilities right from the start. "
"Nation/Context/6","Danish player"
"Nation/Name/7","Sverige"
"Nation/Description/7","Difficulty level - Very hard.

Sweden controls one island with two towns. Access to zdrojům is limited and Captains must engage in PvP hostilities right from the start.  Areas around the island are safe but the nation must conquer new towns to support shipbuilding. Presence of a potential enemy Denmark increases both PvP opportunities and risk. "
"Nation/Context/7","Swedish player"
"Nation/Name/8","United States"
"Nation/Description/8","Difficulty level - Easy.

USA has full control over the coast and is distant from all enemies, making shipbuilding and other activities somewhat safer than other nations. Captains seeking PvP action are encouraged to relocate to the center of the map as soon as possible. "
"Nation/Context/8","US player"
"Nation/Name/9","Free Town"
"Nation/Description/9"," "
"Nation/Context/9",""
"Nation/Name/10","Russian Empire"
"Nation/Description/10","Difficulty level - Impossible.
Nation spawn is in a shallow water port in a PvP zone.

You are joining Empire's colonial navy. Your nation has no uncapturable ports and no capital in the West Indies. You will have to establish the bases and protect them at all times. This is a very challenging nation but it makes fighting for it more exciting."
"Nation/Context/10","Russian player"
"Nation/Name/11","Kingdom of Prussia"
"Nation/Description/11","Difficulty level - Impossible.
Nation spawn is in a shallow water port in a PvP zone.

You are joining Prussia colonial navy. Your nation has no uncapturable ports and no capital in the West Indies. You will have to establish the bases and protect them at all times. This is a very challenging nation but it makes fighting for it more exciting."
"Nation/Context/11","Prussian player"
"Nation/Name/12","Commonwealth of Poland"
"Nation/Description/12","Difficulty level - Impossible.
Nation spawn is in a shallow water port in a PvP zone.

You are joining Commonwealth's colonial navy. Your nation has no uncapturable ports and no capital in the West Indies. You will have to establish the bases and protect them at all times. This is a very challenging nation but it makes fighting for it more exciting."
"Nation/Context/12","Polish player"
"Challenges/WeeklyLight/Title","Weekly Light Ships"
"Challenges/WeeklyLight/Description","Weekly challenge for rank {0}"
"Challenges/WeeklyFrigate/Title","Weekly Frigate"
"Challenges/WeeklyFrigate/Description","Weekly challenge for rank {0}"
"Challenges/WeeklyLine/Title","Weekly Line Ships"
"Challenges/WeeklyLine/Description","Weekly challenge for rank {0}"
"Login/Announcements/Caption","NEWS"
"Login/ShardSelection/Caption","SERVER SELECTION"
"Login/ShardItem/Status","Status: {[value]}"
"Login/ShardItem/Population","Population: {[value]}"
"Login/ShardItem/Ping","Ping: {[value]}ms"
"Login/Credentials/Caption","DEVELOPMENT DEBUG SCREEN"
"Login/Credentials/EnterName","Enter name"
"Login/Credentials/EnterPassword","Enter password"
"Login/Credentials/RememberMe","Remember me"
"Login/PlayerSelection/Caption","PLAYER SELECTION"
"Login/PlayerSelection/NoPlayerCreated","No player created"
"Login/PlayerCreation/Caption","PLAYER CREATION"
"Login/PlayerCreation/EnterName","Enter name"
"Login/PlayerCreation/SelectNation","Select Nation"
"Login/Credentials/LoginSteam","LOGIN STEAM"
"Login/Credentials/LoginInternal","LOGIN INTERNAL"
"Login/PlayerSelection/Remove","REMOVE"
"Login/PlayerSelection/Start","START"
"Login/PlayerCreation/Create","CREATE"
"Login/Status/Loading","Loading..."
"Login/Status/Authenticating","Authenticating..."
"Login/Status/SteamAuthentication","Performing Steam authentication..."
"Login/Status/ConnectingToLoginQueue","Connecting to login queue..."
"Login/Status/ConnectingToSystem","Connecting to system..."
"Login/Status/Connected","Connected."
"Login/Status/SendingCrashReports","Sending stored crash reports..."
"Login/Status/SendingCrashReportsCounter","Sending stored crash reports... {0} / {1}"
"Login/Status/Error/RequiredLibrariesNotFound","Required libraries could not be loaded.

Please verify game cache integrity and make sure you installed
Microsoft Visual C++ Redistributable 2017 (x86/x64)."
"Login/Status/Error/ShaderModelProblem","Game requires shader model 5

Your shader model is {0}"
"Login/Status/Error/ClientDataCorrupted","Client data corrupted.

Please verify integrity of game files."
"Login/Status/Error/ConnectionLost","Connection lost."
"Login/Status/RequestingShardList","Requesting shards list..."
"Login/Status/Error/CommonError","Error: {0}"
"Login/PlayerCreation/Error/PlayerNameIsEmpty","Player name field is empty"
"Login/PlayerCreation/Error/MinPlayerNameLength","Min player name length is {0}"
"Login/PlayerCreation/Error/MaxPlayerNameLength","Max player name length is {0}"
"Login/PlayerCreation/Error/SelectNation","Please select nation"
"Login/PlayerSelection/RemovingPlayerWarning","WARNING!
By deleting the player
<b>{0}</b>
you will completely delete it from this server"
"Login/PlayerSelection/RemovingPlayerWarning2","WARNING!
Are you absolutely sure to delete
<b>{0}</b>?
Deleting your player will completely delete it from this server!"
"Login/PlayerSelection/RemovingPlayerWarning3","Please type in 'delete' (without quotes) to confirm deleting of
{0}"
"Login/Status/RemovingPlayer","Remove player..."
"Login/PlayerSelection/DeletingNotConfirmed","Deleting of player
<b>{0}</b>
was not confirmed"
"Login/Status/EnteringShardUsingSteam","Enter shard '{0}' using your Steam ID"
"Login/Status/ConnectingViaSteam","Connecting via Steam ({0})"
"Login/Status/AwaitingForSendingCrashReportsFinish","Awaiting for sending crash reports finish..."
"Login/Status/Finished","Finished."
"Login/Status/Error/TryToRelogin","Please try relogin"
"Login/Status/Error/ConnectionError","Connection error: {0}"
"Login/Status/Error/AuthenticationError","Authentication error: {0}"
"Login/Status/Error/ServerIsFull","Server is full."
"Login/Status/EstimatedAwaitingTime","Estimated awaiting time: {0}"
"Login/Status/AwaitingInLoginQueue","{0}Awaiting in login queue... Position: {1}{2}"
"Login/Announcements/ButtonCaption","IMPORTANT ANNOUNCEMENTS"
"Login/Description/Title_dev","War Server"
"Login/Description/Small_dev","Risk
Danger
Adrenaline"
"Login/Description/Large_dev","Immediate contact with player enemies everywhere. Full loot pvp and ganking. Řadové lodě can only be captured from players."
"Login/Description/Title_cleanopenworldprodeu2","Peace Server"
"Login/Description/Small_cleanopenworldprodeu2","Calm
Tranquility
Relaxation"
"Login/Description/Large_cleanopenworldprodeu2","No negative interactions with human players. Great place for friendly peaceful gameplay. Every ship can be captured, even Řadové lodě."
"Login/Description/Title_cleanopenworldprodeu1","War Server"
"Login/Description/Small_cleanopenworldprodeu1","Risk
Danger
Adrenaline"
"Login/Description/Large_cleanopenworldprodeu1","Immediate contact with player enemies everywhere. Full loot pvp and ganking. Lineships can only be captured from players."
"Tutorial/AllYards/TurningStage/Description","Turn right and reach the objective circle using only yards"
"Tutorial/AllYards/TurningStage/Tip","Double click [key_{0}] to turn front yards and double click [key_{1}] to turn back yards to improve turnrate to the right"
"Tutorial/AllYards/Autoskipper/Description","Enable the auto - skipper once you are on the right course by clicking [key_{0}] once"
"Tutorial/AllYards/Stop/Description","Stop ship in objective circle"
"Tutorial/Warning/RudderDisabled","Your rudder is disabled"
"Tutorial/BackYards/YardToLeft/Description","Press [key_{0}] to turn back yards to max left position. This makes the back yards deflect the wind to the left at the stern, turning your ship to the right"
"Tutorial/BackYards/YardToLeft/Tip","Double click on [key_{0}] allows gives command for full back yards left"
"Tutorial/BackYards/YardToRight/Description","Press [key_{0}] to turn back yards to max right position. This makes the back yards deflect the wind to the right at the stern, turning your ship to the left"
"Tutorial/BackYards/YardToRight/Tip","Double click on [key_{0}] allows gives command for full back yards right"
"Tutorial/BackYards/YardToNeutralFromRight/Description","Set yards to neutral position by clicking [key_{0}] once. Skipper indicator on the compass shows Auto skipper"
"Tutorial/BackYards/YardToNeutralFromRight/Tip","Yards are always in the neutral position if your skipper is on Auto"
"Tutorial/BoardingCombat/UseFireDeck/Description","Use fire deck guns command to weaken the enemy"
"Tutorial/BoardingCombat/UseFireDeck/Tip","Fire deck guns is most effective against defend command"
"Tutorial/BoardingCombat/UseFireDeck/Action","Fire Deck Guns"
"Tutorial/BoardingCombat/UseFireMuskets/Description","Use musket volley command to lay musket fire"
"Tutorial/BoardingCombat/UseFireMuskets/Tip","Musket fire is most effective against defend command"
"Tutorial/BoardingCombat/UseFireMuskets/Action","Musket Volley"
"Tutorial/BoardingCombat/UseAttackCommand/Description","Use attack command to attack enemy deck"
"Tutorial/BoardingCombat/UseAttackCommand/Tip","Enemy will surrender if you attack when their crew morale is 0"
"Tutorial/BoardingCombat/UseAttackCommand/Action","Attack"
"Tutorial/BoardingCombat/ExitBoardingWindod/Description","Press [key_ESC] to exit boarding commands"
"Tutorial/BoardingCombat/InspectTargetHold/Description","Now that you have won the boarding lets inspect the enemy vessel. Look at the enemy ship and press [key_{0}] to inspect the ship"
"Tutorial/BoardingCombat/SwitchShip/Description","The Stolen Goods load is too heavy. Lets switch to the enemy ship to take it with cargo. Click on Change button to switch to the enemy ship"
"Tutorial/BoardingCombat/ConfirmAndClose/Description","Transfer repairs from old vessel to a new one by drag and drop and click Confirm button"
"Tutorial/BoardingCombat/RepairSail/Description","Now that you have switched ships lets repair sails. Press buttons [key_5] [key_2] to repair your rig"
"Tutorial/BoardingCombat/RepairSail/Tip","Repair fixes 25% of sails and lasts for 2 minutes depending on crew on repairs. You can only repair Hull or Sails at the same time once every 12 mins"
"Tutorial/BoardingCombat/SailToObjective/Description","Reach the objective circle"
"Tutorial/BoardingCombat/SailToObjective/Tip","Repair fixes 25% of sails and lasts for 2 minutes depending on crew on repairs. You can only repair Hull or Sails at the same time once every 12 mins.

Repair Progress: {0}%"
"Tutorial/CameraAiming/AimRightSide/Description","Click [{0}] looking towards starboard (right) side of the ship to enter the firing mode"
"Tutorial/CameraAiming/AimLeftSide/Description","Click [{0}] looking towards port side (left) of the ship to enter the firing mode"
"Tutorial/CameraAiming/AimLetterA/Description","Aim fire sector at the letter A by moving the mouse"
"Tutorial/CameraAiming/AimLetterB/Description","Aim fire sector at the letter B by moving the mouse"
"Tutorial/CameraAiming/AimHull/Description","Aim the sector at the enemy ship"
"Tutorial/CameraMoving/MoveToRightSide/Description","Look from the port (left) side of the ship towards the starboard (right) side of the ship and wait 1 second"
"Tutorial/CameraMoving/MoveToLeftSide/Description","Look from the starboard (right) of the ship towards the port (left) side of the ship and wait 1 second"
"Tutorial/CameraMoving/MoveToFront/Description","Look from the stern (back side) towards the bow (front side) of the ship and wait 1 second"
"Tutorial/CameraMoving/MoveToBackSide/Description","Look from the bow (front side) towards the stern (back side) of the ship and wait 1 second"
